"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"34672",27505253,"Private room with king sized bed in Brooklyn.",31378,"Kristine","Brooklyn","Crown Heights",40.67194,-73.96208,"Private room",100,1,12,"2019-05-10",1.24,3,2
"29653",22770321,"Spacious 2BR/2BTH/& Parking| Close to Everything!",168196322,"Dalton","Brooklyn","East New York",40.66337,-73.88036,"Entire home/apt",80,5,55,"2019-06-24",3.31,1,139
"5764",4199782,"Park Slope's - Pied à Terre (1-Bedroom Apt)",21789707,"Alexandre","Brooklyn","South Slope",40.6656,-73.98575,"Entire home/apt",135,2,128,"2019-04-24",2.23,1,245
"17410",13726629,"CLEAN COMFORTABLE ROOM 7 MIN FR JFK",20134231,"Paulette","Queens","Springfield Gardens",40.66298,-73.7621,"Private room",40,2,187,"2019-03-08",5.12,3,352
"25405",20314852,"COMFY BEDROOM IN THE HEART OF HARLEM",144863286,"Georgy","Manhattan","Harlem",40.8173,-73.95571,"Private room",120,1,0,"",NA,1,180
"30638",23702074,"Sonder | 180 Water | Lovely 1BR + Rooftop",12243051,"Sonder","Manhattan","Financial District",40.70738,-74.00493,"Entire home/apt",212,29,0,"",NA,96,332
"39736",30924308,"Rooftop Oasis in Brooklyn for Shoots & Gigs",231091048,"Stephanie","Brooklyn","Bedford-Stuyvesant",40.68984,-73.95864,"Entire home/apt",600,3,1,"2019-01-03",0.16,1,66
"31580",24599452,"ELEXEY'S COMFORT.",185889529,"Michelle","Queens","St. Albans",40.70389,-73.75782,"Private room",50,3,58,"2019-06-24",4.69,3,358
"47708",35875685,"Harlem Hidden Gem,Clean, Affordable and Convenient",269838822,"Asya","Manhattan","Harlem",40.80549,-73.95136,"Private room",80,2,0,"",NA,1,352
"37204",29560068,"Midtwon / UES Gem With Private Terrace!",165776960,"Raanan","Manhattan","Midtown",40.75935,-73.96422,"Entire home/apt",135,30,0,"",NA,2,341
"26085",20805520,"Manhattan room with a fire escape!",149184623,"Elina","Manhattan","Washington Heights",40.83636,-73.94487,"Private room",65,2,81,"2019-07-06",3.8,1,11
"35488",28157869,"Brooklyn Guest Suite",68927337,"Jean","Brooklyn","East Flatbush",40.65329,-73.92756,"Shared room",50,7,1,"2018-09-28",0.11,1,179
"46079",35063377,"Bright, loft-style room in prime Williamsburg",10400953,"Antje","Brooklyn","Williamsburg",40.71544,-73.96003,"Private room",100,5,0,"",NA,1,12
"46803",35453591,"Cozy Home Just Minutes From Midtown Manhattan",266754587,"Mela","Queens","Long Island City",40.75734,-73.9324,"Entire home/apt",225,2,1,"2019-06-23",1,1,261
"39576",30810353,"Lovely Room, Midtown Manhattan!",204160428,"Cristian","Manhattan","Hell's Kitchen",40.75934,-73.99563,"Private room",160,3,30,"2019-06-22",4.71,3,73
"563",208889,"Welcome to Brooklyn! Bed-Stuy",1029021,"Jameelah","Brooklyn","Bedford-Stuyvesant",40.69025,-73.93323,"Entire home/apt",145,3,30,"2019-06-24",0.32,3,11
"42904",33315338,"Lovely bedroom in Brooklyn",52818583,"Justin & Lilo","Brooklyn","Bedford-Stuyvesant",40.68797,-73.95439,"Private room",75,1,21,"2019-06-30",7.5,1,114
"30682",23745442,"COZY PRIVATE ROOM, FLUSHING QUEENS Big room",178059867,"Kevin","Queens","Flushing",40.7561,-73.80622,"Private room",50,1,63,"2019-06-17",3.94,3,156
"23051",18667184,"Easy trip to Manhattan!  Large Private Garden!",129733507,"Mo","Brooklyn","Bedford-Stuyvesant",40.68391,-73.95783,"Entire home/apt",200,3,4,"2018-05-06",0.17,1,250
"36633",29127613,"Small & comfy Bedroom near Brooklyn college.",219499104,"Monika","Brooklyn","Flatbush",40.6355,-73.95205,"Private room",60,1,12,"2019-06-10",1.34,1,90
"21428",17109623,"Sunny Renovated Private Room in the East Village",6387274,"Concetta","Manhattan","East Village",40.72415,-73.97451,"Private room",125,1,95,"2019-06-21",3.28,1,86
"26235",20914711,"Two Bedroom Pied A Terre",9215509,"Jj","Brooklyn","Clinton Hill",40.68939,-73.96474,"Entire home/apt",250,5,6,"2019-04-10",0.28,2,354
"43643",33776576,"Modern Astoria Apartment",2312420,"Marie-Claire","Queens","Astoria",40.75845,-73.9111,"Entire home/apt",200,5,4,"2019-07-01",2.35,2,95
"82",19159,"Spacious luminous apt Upper West NYC",73051,"Sybilla","Manhattan","Harlem",40.82915,-73.95136,"Entire home/apt",110,31,54,"2019-03-23",0.49,1,209
"26416",21027995,"Spacious Private room 10 minutes to Manhattan",82349344,"Maxim","Brooklyn","Williamsburg",40.70911,-73.95288,"Private room",76,2,79,"2019-06-24",4.56,1,349
"36649",29133389,"Awesome Budget Private Room with 2 Beds",219544415,"Joel And Julian","Brooklyn","Bedford-Stuyvesant",40.69232,-73.94966,"Private room",70,2,14,"2019-06-23",1.65,3,365
"20148",16140940,"Beautiful, modern, near Prospect Park",105315535,"Ben","Brooklyn","Prospect Heights",40.67549,-73.96598,"Entire home/apt",158,30,7,"2019-03-30",0.26,3,37
"24605",19784119,"Harlem Haven",9427915,"Ntifafa Akoko","Manhattan","Harlem",40.82105,-73.94588,"Entire home/apt",100,2,27,"2019-06-09",1.15,1,1
"24728",19858046,"Perfect Grand Central apartment",140433041,"Ariel","Manhattan","Midtown",40.75083,-73.97271,"Entire home/apt",325,3,21,"2018-12-29",0.89,1,2
"47007",35542412,"Private Patio Williamsburg 2BD/2BA Next to Subway!",267396936,"Amy","Brooklyn","Williamsburg",40.71418,-73.93837,"Entire home/apt",465,3,3,"2019-07-02",3,1,250
"13912",10540383,"Stylish Bedroom (16 min from TIMES SQUARE)",40221604,"John","Manhattan","Harlem",40.82385,-73.94687,"Private room",80,2,86,"2019-06-22",2.43,3,63
"6120",4481427,"1BR w/ Large Patio on Ridgewood/Bushwick border.",1816417,"Raoul","Queens","Ridgewood",40.69945,-73.90651,"Entire home/apt",95,4,44,"2019-07-01",0.81,1,271
"19046",15128456,"Clean room with private bathroom in Bushwick!",658618,"Leticia","Brooklyn","Bushwick",40.69025,-73.91251,"Private room",65,1,23,"2019-06-21",0.69,1,290
"12531",9631380,"Doorman Laundry Large Studio 5195",16098958,"Jeremy & Laura","Manhattan","Hell's Kitchen",40.7659,-73.98674,"Entire home/apt",230,30,1,"2018-10-31",0.12,96,281
"12334",9522763,"Chic and beautiful apt by the park!",1216362,"Camila","Brooklyn","Prospect-Lefferts Gardens",40.65497,-73.96169,"Entire home/apt",140,2,45,"2019-06-23",1.08,4,345
"41507",32267097,"Cozy room in brand new condo with rooftop & gym",242115790,"Esteban","Brooklyn","Greenpoint",40.73394,-73.95174,"Private room",50,2,11,"2019-06-23",3.33,1,49
"40720",31595244,"Central Park - Comfy King Room",224414117,"Gabriel","Manhattan","Hell's Kitchen",40.75504,-73.99716,"Private room",199,1,3,"2019-05-09",0.89,30,360
"19300",15379480,"In ❤️ of West Village- Entire Apt",16810685,"Jennifer","Manhattan","Greenwich Village",40.72868,-73.99901,"Entire home/apt",183,1,173,"2019-07-07",5.21,1,271
"28171",21960412,"Touchdown and Explore NYC! Sunlit 2 Bedroom",160318374,"Giulia","Brooklyn","Bedford-Stuyvesant",40.67871,-73.92678,"Entire home/apt",103,30,47,"2019-05-10",3.2,2,105
"4880",3486103,"Best of Brooklyn & 5 min to Manhattan!",3841446,"Tony","Brooklyn","Williamsburg",40.71023,-73.95688,"Entire home/apt",109,2,214,"2019-06-27",4.58,1,127
"1626",740823,"Beautiful private Apt-15m Manhattan (3rd Room)",570882,"Eldad & Paulina","Brooklyn","Bushwick",40.70226,-73.92797,"Private room",50,2,27,"2019-06-12",0.35,1,2
"18486",14552533,"Studio in the Best location in Manhattan",42415696,"Michael","Manhattan","West Village",40.73175,-74.00419,"Entire home/apt",170,1,127,"2019-06-24",3.61,1,1
"910",333323,"Cozy bedroom near Times Square",1698391,"Pat","Manhattan","Hell's Kitchen",40.76186,-73.99165,"Private room",75,2,118,"2019-07-01",2.11,3,312
"32217",25193752,"Cozy private living in Queens",14323652,"Brandon","Queens","Elmhurst",40.73873,-73.88147,"Entire home/apt",85,2,36,"2019-03-31",2.65,1,130
"23886",19274249,"Bed-study Best!",36474715,"Hanan","Brooklyn","Bedford-Stuyvesant",40.68358,-73.95458,"Private room",65,3,27,"2019-05-11",1.09,1,78
"44531",34283312,"2BR in Bushwick! 20 min to Manhattan!",258831812,"Veronika","Queens","Ridgewood",40.70805,-73.91535,"Entire home/apt",170,7,0,"",NA,1,126
"36785",29233046,"PRIVATE room w/PARKING included-15Min to LGA&JFK!!",146449899,"Fabian","Queens","Flushing",40.74538,-73.83489,"Private room",49,1,57,"2019-06-30",6.71,2,143
"43150",33474092,"1 Bedroom, Pvt Living Space & Bath- Till May 30th",13206448,"Ruchi","Manhattan","Upper West Side",40.79908,-73.96465,"Private room",50,7,2,"2019-05-24",0.6,1,283
"46850",35463996,"Spacious Upper West Side Bedroom",19639667,"Sara","Manhattan","Upper West Side",40.80092,-73.96195,"Private room",100,1,0,"",NA,1,293
"36340",28913324,"6 Guests LUXURIOUS MANHATTAN Condo With ROOFTOP!!!",96986507,"Jason","Manhattan","Harlem",40.80702,-73.95334,"Entire home/apt",270,2,12,"2019-06-11",1.34,1,365
"42626",33089083,"Chic 2 bedroom Brownstone with garden 17m to MHTN.",249030378,"Gloria","Brooklyn","Bedford-Stuyvesant",40.68965,-73.92908,"Entire home/apt",110,4,13,"2019-07-03",3.71,1,161
"18941",15043788,"Private Room in Sunnyside 3",84607966,"Nurcan","Queens","Sunnyside",40.73908,-73.9203,"Private room",45,1,134,"2019-07-01",3.93,3,308
"41387",32225197,"Sonder | Stock Exchange | Private 1BR + Sofa Bed",219517861,"Sonder (NYC)","Manhattan","Financial District",40.7075,-74.01023,"Entire home/apt",229,2,7,"2019-05-17",1.75,327,346
"11404",8860450,"Stylish One-Bedroom in Gramercy!",12838732,"Elizabeth","Manhattan","Gramercy",40.73743,-73.98652,"Entire home/apt",190,2,76,"2019-06-14",1.68,1,12
"24684",19828183,"❤️Private Suite w Balcony ❤️25 Mins to NYC",8266069,"Linda And Liz","Queens","Elmhurst",40.73704,-73.87877,"Private room",120,2,110,"2019-06-30",4.75,1,222
"9894",7615693,"Amazing 4 Bdrm Brownstone Apt",39940356,"Craig","Brooklyn","Fort Greene",40.6874,-73.97484,"Entire home/apt",275,6,8,"2019-04-28",0.23,1,9
"44811",34415643,"Bright & Meditative room in Williamsburg!",22553147,"Michael H.Y.","Brooklyn","Williamsburg",40.71143,-73.94189,"Private room",69,1,9,"2019-07-04",8.18,3,318
"7286",5354632,"Private Room Inwood Park Top of Manhattan",19931875,"Luz & Ruben","Manhattan","Inwood",40.87206,-73.92946,"Private room",59,4,13,"2018-08-18",0.28,3,157
"22956",18596197,"Great  apartment ( W48 street )",51501835,"Jeniffer","Manhattan","Hell's Kitchen",40.76382,-73.99435,"Entire home/apt",125,30,3,"2019-06-08",0.45,31,339
"25383",20304193,"Quiet,Comfy&Spacious Room near F/G train",104836016,"Qingming","Brooklyn","Kensington",40.64007,-73.98011,"Private room",66,2,29,"2019-06-16",1.25,4,170
"10584",8135144,"Time Square! 2 Fully Furnished apt!",42959506,"Vapee","Manhattan","Hell's Kitchen",40.76127,-73.99181,"Entire home/apt",245,4,55,"2019-06-21",1.29,1,261
"29664",22779746,"East 7th Street III by (Hidden by Airbnb)",156158778,"Sally","Manhattan","East Village",40.72779,-73.98644,"Entire home/apt",3518,1,0,"",NA,12,215
"32137",25124293,"Stylish One-Bedroom Apartment in Park Slope",1546476,"Janet","Brooklyn","Park Slope",40.67808,-73.98074,"Entire home/apt",120,3,9,"2019-05-10",0.67,1,2
"28354",22030593,"Comfortable warehouse conversion loft. STUDIO",338921,"Benjamin","Brooklyn","Cobble Hill",40.68831,-73.99159,"Entire home/apt",200,2,1,"2019-06-30",1,1,1
"13296",10010845,"Modern 1 bedroom 5min Cental Park",49903913,"Lily","Manhattan","Upper West Side",40.7993,-73.96642,"Entire home/apt",90,1,171,"2019-06-10",3.98,1,53
"46955",35509152,"Charming 1BR apt, Penn Station:)",192505058,"Celine","Manhattan","Chelsea",40.75117,-73.99783,"Entire home/apt",220,3,2,"2019-07-02",2,1,54
"34310",27221468,"AWESOME QUEEN BED B - NEAR 3 METROS WILLIAMSBURG",189625025,"Mary And Ryan","Brooklyn","Williamsburg",40.70844,-73.94415,"Private room",70,2,20,"2019-06-10",1.9,2,345
"16210",13078166,"West 15th Street Cozy Chelsea Studio Serviced Apt",22541573,"Ken","Manhattan","Chelsea",40.73929,-73.9999,"Entire home/apt",179,30,0,"",NA,87,273
"36515",29034190,"The  NYC Getaway Space",9808458,"Zain","Bronx","Kingsbridge",40.87072,-73.89974,"Private room",65,2,0,"",NA,4,364
"23449",18993091,"Brooklyn Spacious Hip + Cosy Room in 2 bedroom",132485225,"Kate + Max","Brooklyn","Bensonhurst",40.61767,-73.99176,"Private room",42,8,26,"2019-06-06",1.04,1,43
"7693",5806817,"Sleeping in NYC, like home (1).",29817997,"Alberto","Queens","Rego Park",40.72846,-73.85546,"Private room",65,1,120,"2019-06-01",2.35,2,355
"19689",15773388,"Cozy room in South Williamsburg BK",795031,"D M","Brooklyn","Williamsburg",40.70809,-73.9519,"Private room",70,2,117,"2019-06-18",3.71,2,35
"43284",33558445,"Sunny 4 bedrooms in Manhattan",247185393,"Artem","Manhattan","East Harlem",40.79491,-73.94162,"Entire home/apt",400,3,7,"2019-06-14",2.33,1,307
"45871",34986604,"Apartment near JFK and Manhattan",150285098,"Ahsan","Queens","Howard Beach",40.66238,-73.83628,"Private room",150,1,0,"",NA,1,89
"7375",5445314,"Beautiful Artist loft",21838149,"Marcia","Brooklyn","DUMBO",40.70299,-73.98624,"Private room",160,1,54,"2019-06-20",1.03,1,10
"37621",29832437,"Room Q near Columbia",223431101,"Stella","Manhattan","Morningside Heights",40.80307,-73.96386,"Private room",80,1,37,"2019-06-23",4.78,3,9
"43520",33701468,"Best Location! Spacious 3BR in Center of NYC!",253128090,"Harvy Jake","Manhattan","Midtown",40.76167,-73.96944,"Entire home/apt",149,2,7,"2019-06-14",2.63,1,163
"18322",14371241,"Private Room - 15 min to Times Square.",9209911,"Oscar","Manhattan","Harlem",40.81853,-73.9472,"Private room",54,3,71,"2019-07-01",2.01,1,15
"11773",9152795,"Studio Bedroom Apt in Williamsburg",1443812,"Luciana","Brooklyn","Williamsburg",40.71083,-73.96401,"Entire home/apt",120,3,184,"2019-06-27",4.1,2,262
