"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
8986308,"King Sized Bed Park Slope",21293445,"Ryan","Brooklyn","Gowanus",40.66864,-73.99484,"Private room",155,1,0,"",NA,1,0
36425639,"Sunny private bedroom in Bushwick (Halsey street)",2182412,"Sofiya","Brooklyn","Bushwick",40.68932,-73.91374,"Private room",80,1,0,"",NA,1,17
16506016,"Harlem Monthly Rental True Two Bedroom 1 Bath",12145783,"Enid","Manhattan","East Harlem",40.8006,-73.94115,"Entire home/apt",99,30,3,"2018-12-23",0.22,2,220
9185329,"Sunny, Spacious, Botanical Greenpoint 1 Bdrm",17615713,"Merrily","Brooklyn","Greenpoint",40.72697,-73.94712,"Entire home/apt",108,7,19,"2019-06-21",0.43,1,21
32104047,"Wyndham Midtown 45 at New York City - Bedroom",194953121,"Christian","Manhattan","Midtown",40.75204,-73.97278,"Entire home/apt",699,2,0,"",NA,1,132
21549879,"Luxury Williamsburg Loft. Two blocks from Subway!",4939914,"Adam","Brooklyn","Williamsburg",40.71807,-73.9545,"Entire home/apt",250,30,3,"2018-06-02",0.15,1,0
34972828,"Sunnyside Gardens Historic Home - Sweet and Green",13077418,"Richard","Queens","Sunnyside",40.7475,-73.9161,"Entire home/apt",200,2,4,"2019-07-01",4,1,57
7228259,"NYC Excitement Meets Quiet and Comfort!",37101663,"Adam","Manhattan","Harlem",40.82101,-73.95436,"Private room",71,30,66,"2018-12-23",2.99,1,0
30791183,"Spacious One Bedroom Apartment (sleeps 2-5 people)",230367259,"James","Manhattan","Upper East Side",40.77861,-73.94628,"Entire home/apt",200,7,0,"",NA,1,235
22117898,"Brooklyn city room",160495098,"Miller","Brooklyn","East Flatbush",40.63479,-73.94848,"Private room",27,2,4,"2018-09-29",0.23,5,0
34977297,"Williamsburg Gem, 2 bed/2bath",119273,"Aimee","Brooklyn","Williamsburg",40.7194,-73.96346,"Entire home/apt",160,31,0,"",NA,1,54
8348832,"BUSHWICK ground floor beauty",15756065,"Genna","Brooklyn","Bushwick",40.69795,-73.92162,"Private room",110,1,2,"2015-12-04",0.04,1,0
6134199,"Stylish Pop-Art studio on trendy UWS",6003040,"Lalo","Manhattan","Upper West Side",40.78926,-73.96989,"Entire home/apt",198,2,161,"2019-06-29",3.21,1,252
